company_name,url,year_founded,city,state,country,zip_code,full_time_employees,company_type,company_category,revenue_source,business_model
CoolClimate,http://coolclimate.berkeley.edu,2007,Berkeley,CA,us,94720,10-Jan,Nonprofit,Environment & Weather,"Data analysis for clients, Database licensing, User fees for web or mobile access","Business to Business, Business to Consumer, Business to Government"
Copyright Clearance Center,http://www.copyright.com,1978,Danvers,MA,us,1923,201-500,Private,Business & Legal Services,Not reported by company,"Business to Business, Business to Consumer"
CoreLogic,http://www.corelogic.com,2010,Irvine,CA,us,92618,"1,001-5,000",Public,Housing/Real Estate,"Data analysis for clients, Database licensing",
CostQuest,http://www.costquest.com,1990,Cincinnati,OH,us,45206,Nov-50,partnership,Business & Legal Services,Not reported by company,Business to Business
Credit Karma,https://www.creditkarma.com,2007,San Francisco,CA,us,94104,51-200,Private,Finance & Investment,Not reported by company,Business to Consumer
Credit Sesame,creditsesame.com,2010,Mountain View,CA,us,94041,Nov-50,Private,Finance & Investment,"Advertising, Lead generation to other businesses",Business to Consumer
CrowdANALYTIX,www.crowdanalytix.com,2012,Campbell,CA,us,95014,Nov-50,Private,Data/Technology,"Data analysis for clients, Database licensing",
Dabo Health,https://www.dabohealth.com/#/,2011,Menlo Park,CA,us,94025,Nov-50,Private,Healthcare,Software licensing,Business to Consumer
DataLogix,http://www.datalogix.com,2002,Westminster,CO,us,80021,201-500,Private,Data/Technology,Not reported by company,Business to Business
DataMade,http://datamade.us,2012,Chicago,IL,us,60647,10-Jan,Private,Governance,Philanthropic grants,Business to Government
DataMarket,datamarket.com,2008,Boston,MA,us,2110,Nov-50,Private,Data/Technology,Software licensing,Business to Consumer
Datamyne,http://www.datamyne.com,1992,Miami,FL,us,33216,51-200,Private,Data/Technology,Not reported by company,Business to Business
DataWeave,www.dataweave.com,2011,New York,NY,us,10012,10-Jan,Private,Data/Technology,not reported by company,Business to Business
Deloitte,http://www.deloitte.com,1845,New York,NY,us,10112,"10,001+",Private,Research & Consulting,Not reported by company,Business to Business
DemystData,http://demystdata.com,2011,New York,NY,us,10001,Nov-50,Private,Finance & Investment,Not reported by company,Business to Business
Department of Better Technology,dobt.co,2013,Atlanta,GA,us,30306,10-Jan,Private,Governance,Software licensing,Business to Business
Development Seed,developmentseed.org,2004,Washington,DC,us,20001,10-Jan,Private,Governance,"Data analysis for clients, Database licensing, Custom open source software development","Business to Business, Business to Consumer"
"Docket Alarm, Inc.",www.docketalarm.com,2012,New York,NY,us,10002,10-Jan,Public,Business & Legal Services,"Membership fees, Subscriptions","Business to Business, Business to Consumer"
Dow Jones & Co.,http://www.dowjones.com,1882,New York,NY,us,10036,"5,001-10,000",Public,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
Dun & Bradstreet,http://www.dnb.com,1841,Short Hills,NJ,us,7078,"1,001-5,000",Public,Business & Legal Services,"Subscriptions, Credit Risk and Business Insight, Lead generation to other businesses, Data analysis for clients, Database licensing",
Earth Networks,www.earthnetworks.com,1993,Germantown,MD,us,20876,51-200,Private,Environment & Weather,,"Business to Business, Business to Consumer, Business to Government"
EarthObserver App,http://www.earth-observer.org/,2011,New York,NY,us,10027,NA,,Geospatial/Mapping,Not reported by company,Business to Consumer
Earthquake Alert!,https://play.google.com/store/apps/details?id=com.joshclemm.android.quake&hl=en,2013,Reston,VA,us,20192,NA,Public (Federal-USGS),Geospatial/Mapping,Not reported by company,Business to Consumer
Eat Shop Sleep,https://itunes.apple.com/us/app/eat-shop-sleep/id465262611,2012,,CA,us,22312,NA,NA,Lifestyle & Consumer,Not reported by company,Business to Consumer
Ecodesk,https://www.ecodesk.com,2010,New York,NY,us,10010,Nov-50,Private,Business & Legal Services,Not reported by company,"Business to Business, Business to Government"
eInstitutional,einstitutional.com,2008,Ridgefield,CT,us,6877,10-Jan,Private,Finance & Investment,"Data analysis for clients, Database licensing",Business to Business
Embark,http://letsembark.com,2011,Cupertino,CA,us,95014,10-Jan,Private,Transportation,Not reported by company,Business to Business
EMC,http://www.emc.com/index.htm,1979,Hopkinton,MA,us,1748,"10,001+",Public,Data/Technology,Not reported by company,Business to Business
"Energy Points, Inc.",http://energypoints.com/,2011,Boston,MA,us,2114,Nov-50,Private,Energy,"Software licensing, Subscriptions",Business to Business
Energy Solutions Forum,energysolforum.com,2011,New York,NY,us,10013,10-Jan,Private,Energy,Subscriptions,Business to Business
Enervee Corporation,http://enervee.com,2010,Santa Monica,CA,us,90401,10-Jan,Private,Energy,"Advertising, Data analysis for clients, Database licensing, Lead generation to other businesses, Software licensing",Business to Business
Enigma.io,enigma.io,2011,New York,NY,us,10012,Nov-50,Private,Data/Technology,"Subscriptions, API Licenses","Business to Business, Business to Government"
Ensco,http://www.enscoplc.com/Home/default.aspx,1987,Falls Church,VA,us,22042,"5,001-10,000",Public,Energy,Not reported by company,Business to Business
Environmental Data Resources,http://www.edrnet.com,1990,Milford,CT,us,6461,51-200,Private,Environment & Weather,Not reported by company,Business to Business
Epsilon,http://www.epsilon.com,1969,Plano,TX,us,75024,"5,001-10,000",Public,Data/Technology,Not reported by company,Business to Business
Equal Pay for Women,http://resources.alljobopenings.com/equality,2012,Midlothian,VA,us,23113,NA,,Business & Legal Services,Not provided by company,
Equifax,http://www.equifax.com/home/en_us,1899,Atlanta,GA,us,30374,"5,001-10,000",Public,Finance & Investment,Not reported by company,Business to Business
Equilar,http://www.equilar.com/,2000,Redwood City,CA,us,94063,51-200,Private,Data/Technology,Not reported by company,Business to Business
Ernst & Young LLP,http://www.ey.com,1998,New York,NY,us,10036,"10,001+",Private,Finance & Investment,Not reported by company,Business to Business
eScholar LLC.,http://www.escholar.com,1997,White Plains,NY,us,10605,51-200,Private,Education,"Data analysis for clients, Database licensing","Business to Business, Business to Consumer"
